date,code,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange,snapshot_date,vietnameseName
11/5/2021,FUCVREIT,15:11:11,HOSE,IFC,10.2,10.9,9.49,10.2,10.25,10,10.1,10.13,10.2,10.25,10,10.1,10.13,8100,82060000,0,0,-0.1,-0.1,-0.9804,11/5/2021,Tài chính
11/5/2021,HCM,15:11:11,HOSE,STOCK,41.85,44.75,38.95,42.4,42.4,41.85,42.1,42.12,41.924,41.924,41.38,41.627,41.647,4664500,1.96462E+11,0,0,0.25,0.2472,0.5974,11/5/2021,Tài chính
11/16/2021,FUCTVGF3,15:11:02,HOSE,IFC,11.9,12.7,11.1,11.9,11.9,11.9,11.9,0,11.9,11.9,11.9,11.9,0,0,0,0,0,0,0,0,11/16/2021,Tài chính
11/23/2021,E1VFVN30,15:11:04,HOSE,ETF,25.25,27.01,23.49,25.48,25.63,25.45,25.6,25.55,25.48,25.63,25.45,25.6,25.55,177600,4538180000,0,0,0.35,0.35,1.3861,11/23/2021,Tài chính
11/2/2021,E1VFVN30,15:11:03,HOSE,ETF,25.69,27.48,23.9,25.69,25.69,25.5,25.69,25.56,25.69,25.69,25.5,25.69,25.56,657500,16803905000,108000,2758428000,0,0,0,11/2/2021,Tài chính
11/18/2021,FUESSV50,15:11:03,HOSE,ETF,22.7,24.28,21.12,22.7,22.7,22.6,22.7,22.68,22.7,22.7,22.6,22.7,22.68,9100,206360000,100000,2425000000,0,0,0,11/18/2021,Tài chính
11/30/2021,E1VFVN30,15:11:03,HOSE,ETF,26.2,28.03,24.37,26,26.25,25.7,25.8,25.97,26,26.25,25.7,25.8,25.97,1214800,31546616000,200000,5187400000,-0.4,-0.4,-1.5267,11/30/2021,Tài chính
11/25/2021,HCM,15:11:02,HOSE,STOCK,47.3,50.6,44,47.6,48.75,46.85,47.7,47.77,47.065,48.202,46.324,47.164,47.233,6964100,3.327E+11,0,0,0.4,0.3955,0.8457,11/25/2021,Tài chính
11/9/2021,FUESSV50,15:11:05,HOSE,ETF,22.8,24.39,21.21,22.8,22.81,22.8,22.8,22.8,22.8,22.81,22.8,22.8,22.8,7400,168731000,0,0,0,0,0,11/9/2021,Tài chính
11/15/2021,FUESSV50,15:11:02,HOSE,ETF,22.8,24.39,21.21,22.8,22.8,22.75,22.8,22.8,22.8,22.8,22.75,22.8,22.8,3700,84355000,0,0,0,0,0,11/15/2021,Tài chính
11/15/2021,FUCVREIT,15:11:02,HOSE,IFC,11,11.75,10.25,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,10200,119850000,0,0,0.75,0.75,6.8182,11/15/2021,Tài chính
11/23/2021,FUESSV50,15:11:04,HOSE,ETF,22.6,24.18,21.02,22.6,22.8,22.6,22.8,22.62,22.6,22.8,22.6,22.8,22.62,14000,316720000,0,0,0.2,0.2,0.885,11/23/2021,Tài chính
11/24/2021,FUCVREIT,15:11:03,HOSE,IFC,11.45,12.25,10.65,11.45,12.2,11.45,11.7,11.61,11.45,12.2,11.45,11.7,11.61,6900,80090000,0,0,0.25,0.25,2.1834,11/24/2021,Tài chính
11/16/2021,FUCVREIT,15:11:02,HOSE,IFC,11.75,12.55,10.95,12.55,12.55,12.5,12.55,12.55,12.55,12.55,12.5,12.55,12.55,40600,509515000,0,0,0.8,0.8,6.8085,11/16/2021,Tài chính
11/2/2021,FUESSV50,15:11:03,HOSE,ETF,22.5,24.07,20.93,22.4,22.6,21.5,22.6,21.9,22.4,22.6,21.5,22.6,21.9,82100,1798250000,0,0,0.1,0.1,0.4444,11/2/2021,Tài chính
11/24/2021,E1VFVN30,15:11:03,HOSE,ETF,25.6,27.39,23.81,25.61,26.2,25.61,26.2,25.99,25.61,26.2,25.61,26.2,25.99,4221600,1.09706E+11,1400000,36590000000,0.6,0.6,2.3438,11/24/2021,Tài chính
11/4/2021,E1VFVN30,15:11:03,HOSE,ETF,25.7,27.49,23.91,25.55,25.8,25.55,25.65,25.69,25.55,25.8,25.55,25.65,25.69,896800,23037665000,40000,1098000000,-0.05,-0.05,-0.1946,11/4/2021,Tài chính
11/4/2021,FUCTVGF3,15:11:03,HOSE,IFC,11.15,11.9,10.4,11.15,11.15,11.15,11.15,0,11.15,11.15,11.15,11.15,0,0,0,0,0,0,0,0,11/4/2021,Tài chính
11/26/2021,FUESSV50,15:11:03,HOSE,ETF,23.3,24.93,21.67,23.5,23.6,23.4,23.4,23.47,23.5,23.6,23.4,23.4,23.47,27600,647745000,0,0,0.1,0.1,0.4292,11/26/2021,Tài chính
11/16/2021,E1VFVN30,15:11:02,HOSE,ETF,25.8,27.6,24,25.8,25.8,25.46,25.5,25.54,25.8,25.8,25.46,25.5,25.54,760400,19423389000,0,0,-0.3,-0.3,-1.1628,11/16/2021,Tài chính
11/8/2021,E1VFVN30,15:11:03,HOSE,ETF,25.96,27.77,24.15,25.71,25.95,25.7,25.95,25.81,25.71,25.95,25.7,25.95,25.81,2412100,62258114000,0,0,-0.01,-0.01,-0.0385,11/8/2021,Tài chính
11/23/2021,FUCTVGF3,15:11:04,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,11/23/2021,Tài chính
11/17/2021,HCM,15:11:04,HOSE,STOCK,45,48.15,41.85,45,46.5,45,45.3,45.63,44.494,45.978,44.494,44.791,45.117,5287500,2.41291E+11,200000,9200000000,0.3,0.2966,0.6667,11/17/2021,Tài chính
11/17/2021,E1VFVN30,15:11:04,HOSE,ETF,25.5,27.28,23.72,25.5,25.57,25.43,25.52,25.48,25.5,25.57,25.43,25.52,25.48,161400,4111748000,3670000,93606100000,0.02,0.02,0.0784,11/17/2021,Tài chính
11/17/2021,FUCTVGF3,15:11:04,HOSE,IFC,11.9,12.7,11.1,12,12,12,12,12,12,12,12,12,12,100,1200000,0,0,0.1,0.1,0.8403,11/17/2021,Tài chính
11/30/2021,FUCTVGF3,15:11:03,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,11/30/2021,Tài chính
11/30/2021,HCM,15:11:03,HOSE,STOCK,49.2,52.6,45.8,50,50.7,48.8,49,49.8,49.438,50.13,48.252,48.449,49.24,6855900,3.41411E+11,0,0,-0.2,-0.1978,-0.4065,11/30/2021,Tài chính
11/23/2021,HCM,15:11:04,HOSE,STOCK,45,48.15,41.85,45,46.5,44.2,46.5,45.35,44.494,45.978,43.703,45.978,44.84,6414600,2.90877E+11,0,0,1.5,1.4832,3.3333,11/23/2021,Tài chính
11/10/2021,FUCTVGF3,15:11:02,HOSE,IFC,11.9,12.7,11.1,11.9,11.9,11.9,11.9,0,11.9,11.9,11.9,11.9,0,0,0,0,0,0,0,0,11/10/2021,Tài chính
11/12/2021,E1VFVN30,15:11:03,HOSE,ETF,25.69,27.48,23.9,25.64,25.89,25.3,25.89,25.43,25.64,25.89,25.3,25.89,25.43,960300,24418292000,100000,2538000000,0.2,0.2,0.7785,11/12/2021,Tài chính
11/4/2021,FUESSV50,15:11:03,HOSE,ETF,22.6,24.18,21.02,22.61,22.8,22.6,22.8,22.64,22.61,22.8,22.6,22.8,22.64,11300,255821000,0,0,0.2,0.2,0.885,11/4/2021,Tài chính
11/22/2021,FUCVREIT,15:11:04,HOSE,IFC,12.3,13.15,11.45,11.6,12.15,11.45,11.45,11.6,11.6,12.15,11.45,11.45,11.6,41700,483920000,0,0,-0.85,-0.85,-6.9106,11/22/2021,Tài chính
11/16/2021,HCM,15:11:02,HOSE,STOCK,45.6,48.75,42.45,45,46.05,44.7,45,45.4,44.494,45.533,44.198,44.494,44.89,4909600,2.22876E+11,0,0,-0.6,-0.5933,-1.3158,11/16/2021,Tài chính
11/4/2021,HCM,15:11:03,HOSE,STOCK,39.75,42.5,37,39.9,42.3,39.85,41.85,41.43,39.452,41.825,39.402,41.38,40.964,7655400,3.172E+11,0,0,2.1,2.0764,5.283,11/4/2021,Tài chính
11/8/2021,HCM,15:11:03,HOSE,STOCK,42.1,45,39.2,42.4,44.4,42.3,44,43.51,41.924,43.901,41.825,43.506,43.021,7394500,3.21746E+11,0,0,1.9,1.8787,4.5131,11/8/2021,Tài chính
11/2/2021,FUCVREIT,15:11:03,HOSE,IFC,10.25,10.95,9.54,10.25,10.3,9.59,10.25,10.1,10.25,10.3,9.59,10.25,10.1,4800,48483000,0,0,0,0,0,11/2/2021,Tài chính
11/18/2021,FUCTVGF3,15:11:03,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,11/18/2021,Tài chính
11/10/2021,E1VFVN30,15:11:02,HOSE,ETF,25.69,27.48,23.9,25.69,25.73,25.54,25.71,25.63,25.69,25.73,25.54,25.71,25.63,289100,7408349000,0,0,0.02,0.02,0.0779,11/10/2021,Tài chính
